============================================
>>> TEST SHIFT LEFT UNIT <<<
============================================
Test 0: PASS | data=7673c4 | shift=20 | out=400000
Test 958: PASS | data=19ccbf | shift=12 | out=cbf000
Test 959: PASS | data=0ee69a | shift=20 | out=a00000
Test 960: PASS | data=24a27a | shift=3 | out=2513d0
Test 961: PASS | data=e82fcd | shift=14 | out=f34000
Test 962: PASS | data=61b8ad | shift=12 | out=8ad000
Test 963: PASS | data=4daae3 | shift=1 | out=9b55c6
Test 964: PASS | data=06e36a | shift=16 | out=6a0000
Test 965: PASS | data=c65c40 | shift=6 | out=971000
Test 966: PASS | data=216c2d | shift=19 | out=680000
Test 967: PASS | data=5e3512 | shift=17 | out=240000
Test 968: PASS | data=95c82c | shift=17 | out=580000
Test 969: PASS | data=e3ee4a | shift=13 | out=c94000
Test 970: PASS | data=fd4d2d | shift=22 | out=400000
Test 971: PASS | data=664e1d | shift=2 | out=993874
Test 972: PASS | data=6a8de3 | shift=16 | out=e30000
Test 973: PASS | data=a5cb1b | shift=20 | out=b00000
Test 974: PASS | data=d37faf | shift=17 | out=5e0000
Test 975: PASS | data=e8c986 | shift=18 | out=180000
Test 976: PASS | data=ddcb98 | shift=10 | out=2e6000
Test 977: PASS | data=5639a0 | shift=19 | out=000000
Test 978: PASS | data=8cb3e5 | shift=16 | out=e50000
Test 979: PASS | data=5f3a95 | shift=15 | out=4a8000
Test 980: PASS | data=828131 | shift=23 | out=800000
Test 981: PASS | data=12554b | shift=0 | out=12554b
Test 982: PASS | data=3d6473 | shift=17 | out=e60000
Test 983: PASS | data=abf1d6 | shift=7 | out=f8eb00
Test 984: PASS | data=145bc3 | shift=13 | out=786000
Test 985: PASS | data=8e9e36 | shift=17 | out=6c0000
Test 986: PASS | data=3af8c0 | shift=10 | out=e30000
Test 987: PASS | data=05726d | shift=12 | out=26d000
Test 988: PASS | data=adcf41 | shift=13 | out=e82000
Test 989: PASS | data=d20ae1 | shift=13 | out=5c2000
Test 990: PASS | data=2336f1 | shift=5 | out=66de20
Test 991: PASS | data=ab2a54 | shift=14 | out=950000
Test 992: PASS | data=d1b81e | shift=12 | out=81e000
Test 993: PASS | data=f24f3b | shift=16 | out=3b0000
Test 994: PASS | data=a3fbeb | shift=19 | out=580000
Test 995: PASS | data=7dbd0a | shift=2 | out=f6f428
Test 996: PASS | data=e00ed2 | shift=21 | out=400000
Test 997: PASS | data=470d91 | shift=20 | out=100000
Test 998: PASS | data=fec629 | shift=5 | out=d8c520
Test 999: PASS | data=f41336 | shift=16 | out=360000
============================================
Total Tests : 1000
PASS         : 1000
FAIL         : 0
============================================
✅ ALL TESTS PASSED!
- SHF_unit/tb_SHF_unit.sv:79: Verilog $finish
- S i m u l a t i o n   R e p o r t: Verilator 5.024 2024-04-05
- Verilator: $finish at 1us; walltime 0.003 s; speed 0.000 s/s
- Verilator: cpu 0.000 s on 1 threads; alloced 57 MB
